Unnamed: 0,Tweets,ID,Sentiment
66,RT @Chopsyturvey: Vijay Diwas. PM @narendramodi with the CDS and Service Chiefs at the National War Memorial https://t.co/Ysa1iPNDn9,1339158010770325506,0
67,"RT @thesuniljain: Wah wah @nytimes !!!
@narendramodi's packed trains caused virus⬆️in rural areas but if workers had stayed in cities, woul…",1339158008794734594,0
69,"RT @adeshguptabjp: Prime Minister Shri @narendramodi ji launches Swarnim Vijay Varsh celebrations. #VijayDiwas2020 

https://t.co/E7uYLXxbMu",1339158007981064192,0
72,"RT @AabidMagami: Congratulations @narendramodi 

India’s Covid Tally Reaches 99Lac",1339158006261448704,0
73,@GUY_WITH_BEARD7 @narendramodi There is a reason they are called ‛AndhBhakts’ https://t.co/zka3cukOSx,1339158003040174081,0
74,@KanganaTeam @diljitdosanjh @priyankachopra Tell your papa @narendramodi  to repeal the bills. We also don’t want to stay there,1339157999001071616,0
76,RT @BJP4Delhi: PM Shri @narendramodi launches Swarnim Vijay Varsh celebrations. https://t.co/7WNS2wLLs6,1339157981443674112,0
80,"#supremecourtofindia  seem diluting #FarmersProstests to favour @narendramodi co
@pbhushan1 . https://t.co/kSCUkVaze7",1339157970962194434,0
81,@niru091 @TajinderBagga @ArvindKejriwal @republic @IamNaveenKapoor @aajtak @ABPNews @PTI_News @smritiirani… https://t.co/NPQ6M7ZBwD,1339157967074074624,0
82,@jairamthakurbjp @singhcbk @adgpi @BJYM @BJP4India @PMOIndia @narendramodi @MahenderSTBJP @dprhp @mygovhimachal… https://t.co/YByER2779X,1339157965006196737,0
83,"RT @apar_chu: Only possible because of
1. Dr @Swamy39
2. Dr @AseerAchary
3. Shri @jgopikrishnan70
4. Shri @pbhushan1
who fought 2G spectrum…",1339157956340768768,0
84,"Thanks to PM @NarendraModi Ji, the govt has approved a policy to subsidise sugar exports.
 
This would make farmers… https://t.co/MoL9clTppx",1339157955346714624,1
85,RT @DrHVoffice: Watch Now !  Hon’ble PM Sh @narendramodi Ji lights 'Swarnim Vijay Mashaal' on 50th anniversary of 1971 India-Pak war.  @PMO…,1339157952930828289,0
86,@IndianFootball @theafcdotcom @KirenRijiju @praful_patel @FIFAcom @narendramodi @IndiaSports @Media_SAI… https://t.co/8oitCteLiu,1339157947264294912,0
87,RT @PMOIndia: Telangana CM K. Chandrashekar Rao called on PM @narendramodi today. https://t.co/HqxX6eWwF9,1339157941593600005,0
88,"@itsSelf_Musing @Amrita_W_S #Justice4Republic 
Why no actions from anyone? We feel ashamed of this whole system..fo… https://t.co/6YTloWp1s2",1339157936841478145,1
90,"RT @BJP4India: In just 1.25 years of the Jal Jeevan Mission, 3 crore families have been connected with water connections. 

Even in Gujarat…",1339157917484736512,0
92,"RT @FatimaZ53524989: @PMOIndia @Supriya_Shyama @narendramodi 183 days of his murder.
Still no arrest. Still CBI is silent.
@narendramodi @P…",1339157908487999488,1
93,@rlyhydka @RailMinIndia @PiyushGoyal @PiyushGoyalOffc @JoshiPralhad @UmeshJadhav_BJP @KARailway @bhagwantkhuba… https://t.co/OyLLrIe7Lb,1339157907376467968,0
94,@TimesNow @narendramodi One more person added to the list of blaming team to Modi ji. Not surprising to any one and… https://t.co/6UZdzW7MDV,1339157906508288006,1
95,"RT @DebashishHiTs: #TMCGoons attack @JPNadda convoy @KailashOnline 's car with bricks, stones in Diamond Harbour #WestBengal
Extraordinary…",1339157901814874112,1
96,"RT @PBNS_India: @narendramodi PM @narendramodi interacts with industries, startups and academia from Space sector 
(Part II)

@isro 

Teleg…",1339157900300673025,0
97,"@barandbench @MumbaiPolice #Justice4Republic 
Why no actions from anyone? We feel ashamed of this whole system..for… https://t.co/TlKZ6VJbTF",1339157900002914304,1
98,"@TapanP1957 @chetanks89 @jcrabtree @narendramodi @PrakashJavdekar @EduMinOfIndia @DrRPNishank Exactly, I have 0 hopes from Javdekar.",1339157896559398913,1
99,"@ANI @ikamalhaasan Well said and that's the reason even Modiji @narendramodi also learning Tamil, speaking in Tamil… https://t.co/pTnzYUxwBh",1339157889034772480,0
